Symbol GSE Entrez PFOCR
25 HMGA2 GSE107594 8091 PMC3726964__ijcep0006-1493-f3.jpg;PMC4259948__WJCO-5-865-g001.jpg;PMC4678324__nihms-741576-f0003.jpg;PMC4797178__12885_2016_2274_Fig5_HTML.jpg;PMC4910912__kcbt-17-05-1095405-g001.jpg;PMC4923650__sci-02-2015.05.03-f1.jpg;PMC4989048__gr3.jpg;PMC5190133__oncotarget-07-44763-g001.jpg;PMC5337147__nihms837459f2a.jpg;PMC5337960__srep43710-f7.jpg;PMC5368188__fgene-08-00031-g0005.jpg;PMC5374322__dmm-10-027441-g4.jpg;PMC5622284__fphar-08-00570-g0002.jpg;PMC5673087__nihms854412f3.jpg;PMC6023839__gr5.jpg;PMC6370048__nihms-1009411-f0002.jpg;PMC6830116__cells-08-01118-g004.jpg
26 HPSE GSE126504 10855 PMC1594921__zii0100662210005.jpg;PMC2907250__nihms-214831-f0001.jpg;PMC3444501__pone.0044938.g004.jpg;PMC3555235__10557_2012_6427_Fig4_HTML.jpg;PMC4059147__zbc0291487210005.jpg;PMC6181582__nihms-990598-f0003.jpg;PMC6349702__fphar-10-00007-g002.jpg
27 IL1B GSE121241 3553 PMC2565686__1471-2164-9-426-6.jpg;PMC2654411__nihms85928f6.jpg;PMC2680287__nihms88172f1.jpg;PMC2685981__pone.0005775.g003.jpg;PMC2812385__zjv0041029120007.jpg;PMC2864813__09_166_hegdef4a.jpg;PMC2868837__1471-2105-11-170-3.jpg;PMC2869029__ukmss-4926-f0001.jpg;PMC2874322__nihms159937f4.jpg;PMC2874810__1471-2164-11-253-3.jpg;PMC2889938__1471-2105-11-308-2.jpg;PMC2923187__pone.0012222.g008.jpg;PMC3030591__pone.0016516.g004.jpg;PMC3048376__pcbi.1001099.g009.jpg;PMC3094296__1742-4682-8-13-1.jpg;PMC3095999__1755-8794-4-33-2.jpg;PMC3273847__nihms353216f1.jpg;PMC3319919__CDT-12-1000_F2.jpg;PMC3410018__281_2012_312_Fig5_HTML.jpg;PMC3430207__toxsci_kfs177_f0003.jpg;PMC3469658__pone.0046941.g005.jpg;PMC3479160__gks615f5p.jpg;PMC3517178__nihms425264f2.jpg;PMC3560666__medscimonit-18-1-BR33-g007.jpg;PMC3581799__fnins-07-00021-g005.jpg;PMC3625357__pnas.1222216110fig11.jpg;PMC3721632__nihms470275f1.jpg;PMC3743449__nihms-501983-f0004.jpg;PMC3743449__nihms-501983-f0005.jpg;PMC3788099__pone.0074798.g007.jpg;PMC3854201__0100-879X-bjmbr-45-03-273-gf04.jpg;PMC3878444__1471-2164-14-891-4.jpg;PMC3888473__fpc-24-81-g006.jpg;PMC3912412__212fig6.jpg;PMC3923659__pcbi.1003470.g002.jpg;PMC3923659__pcbi.1003470.g003.jpg;PMC3965671__nihms536250f4.jpg;PMC3965671__nihms536250f6.jpg;PMC4069681__bsr2014-0021i001.jpg;PMC4131167__s12918-014-0087-1-6.jpg;PMC4181300__pone.0108578.g002.jpg;PMC4219530__nihms616312f1.jpg;PMC4281383__109_2014_1212_Fig4_HTML.jpg;PMC4332855__nihms-663076-f0004.jpg;PMC4367964__nihms669495f5.jpg;PMC4380423__pone.0122374.g005.jpg;PMC4403188__pnas.1503779112fig06.jpg;PMC4467301__CG-16-107_F1.jpg;PMC4498776__pone.0132420.g006.jpg;PMC4553792__pnas.1512863112fig03.jpg;PMC4562270__srep13821-f4.jpg;PMC4627418__13059_2015_808_Fig5_HTML.jpg;PMC4666900__13637_2015_32_Fig1_HTML.jpg;PMC4698384__zh40211517260003.jpg;PMC4771746__fnins-10-00071-g0002.jpg;PMC4780413__nihms670090f6.jpg;PMC4835209__kaup-11-12-1106663-g008.jpg;PMC4835965__kaup-12-02-1121360-g004.jpg;PMC4850435__srep25211-f6.jpg;PMC4919052__pone.0157480.g006.jpg;PMC4919052__pone.0157480.g010.jpg;PMC5058662__oncotarget-07-30037-g003.jpg;PMC5098220__srep36453-f3.jpg;PMC5215528__WRNA-8-0-g001.jpg;PMC5346727__oncotarget-07-79453-g005.jpg;PMC5466605__41598_2017_2915_Fig9_HTML.jpg;PMC5514447__zmb9991015480002.jpg;PMC5549772__ppat.1006532.g002.jpg;PMC5595801__41598_2017_11532_Fig2_HTML.jpg;PMC5650615__fcimb-07-00446-g0001.jpg;PMC5666340__toxins-09-00293-g004.jpg;PMC5733538__fimmu-08-01808-g006.jpg;PMC5833552__41419_2017_152_Fig1_HTML.jpg;PMC5835104__fgene-09-00061-g002.jpg;PMC5859839__ECAM2018-5059743.011.jpg;PMC5913620__en.2017-03273f2.jpg;PMC5923349__cancers-10-00094-g002.jpg;PMC5952217__gr1.jpg;PMC5984538__pnas.1803609115fig04.jpg;PMC5986551__gr5.jpg;PMC6073502__ijms-19-01960-g001.jpg;PMC6085667__12906_2018_2297_Fig5_HTML.jpg;PMC6085667__12906_2018_2297_Fig6_HTML.jpg;PMC6089764__IJMM-42-03-1473-g02.jpg;PMC6157734__nihms-1504493-f0002.jpg;PMC6182269__blood784116f1.jpg;PMC6279938__fimmu-09-02620-g0001.jpg;PMC6286812__nihms879446f2.jpg;PMC6287101__ji1800987f7.jpg;PMC6332659__12918_2018_671_Fig3_HTML.jpg;PMC6443256__nihms-1015241-f0001.jpg;PMC6507454__ol-17-06-5175-g04.jpg;PMC6556902__bby025f2.jpg;PMC6566080__etm-18-01-0105-g08.jpg;PMC6566801__ijms-20-02373-g002.jpg;PMC6571000__peerj-07-7089-g006.jpg;PMC6580993__fnins-13-00527-g009.jpg;PMC6607389__ol-18-02-1179-g02.jpg;PMC6715949__JIA2-22-e25346-g001.jpg;PMC6745137__ECAM2019-2408126.006.jpg;PMC6749995__nihms-1028081-f0004.jpg;PMC6826333__or-42-06-2561-g00.jpg;PMC6826333__or-42-06-2561-g01.jpg
28 JAG1 GSE76421 182 PMC1420312__1471-2407-6-54-5.jpg;PMC2654975__AJRCCM1796457f1.jpg;PMC2743399__nihms-123175-f0003.jpg;PMC2774738__nihms138718f3.jpg;PMC2882520__nihms203259f3.jpg;PMC2891586__pcbi.1000807.g003.jpg;PMC2952341__nihms-232190-f0001.jpg;PMC2964046__bbi-2010-085f1.jpg;PMC3059752__nihms240937f3.jpg;PMC3078450__gr5.jpg;PMC3091413__cin-2011-093f4.jpg;PMC3091413__cin-2011-093f5.jpg;PMC3091413__cin-2011-093f6.jpg;PMC3091413__cin-2011-093f7.jpg;PMC3218933__bcr2876-2.jpg;PMC3218933__bcr2876-3.jpg;PMC3271860__nihms346803f3.jpg;PMC3411062__zbc0341218680001.jpg;PMC3578301__nihms-422281-f0004.jpg;PMC3608394__nihms441874f6.jpg;PMC3624394__zjv9990974730004.jpg;PMC3659771__nihms468458f1.jpg;PMC3688919__pone.0066393.g008.jpg;PMC3751638__1471-2164-14-545-3.jpg;PMC3764819__zbc0411361500004.jpg;PMC3982918__nihms528029f1.jpg;PMC4040351__nihms573273f2.jpg;PMC4047762__nihms-580605-f0006.jpg;PMC4127075__nihms600767f2.jpg;PMC4490472__ijms-16-12773-g002.jpg;PMC4490472__ijms-16-12773-g003.jpg;PMC4520755__nihms704101f1.jpg;PMC4554827__nihms-691457-f0006.jpg;PMC4604214__gr3.jpg;PMC4654680__nihms711296f1.jpg;PMC4666507__nihms740584f1.jpg;PMC4697333__12859_2015_841_Fig3_HTML.jpg;PMC4717619__13058_2015_665_Fig1_HTML.jpg;PMC4884942__oncotarget-07-7610-g001.jpg;PMC4927194__nihms796320f2.jpg;PMC4965740__srep30612-f8.jpg;PMC5088520__12864_2016_3066_Fig1_HTML.jpg;PMC5138592__srep38588-f5.jpg;PMC5221490__nihms341694f6.jpg;PMC5240474__nihms836008f2.jpg;PMC5285449__nihms837566f1.jpg;PMC5354998__nihms843846f10.jpg;PMC5364965__MMR-15-04-1441-g01.jpg;PMC5512555__nihms875547f3.jpg;PMC5711888__fphys-08-00960-g0002.jpg;PMC5882217__bmb-51-106f3.jpg;PMC5908807__41392_2017_5_Fig2_HTML.jpg;PMC5908807__41392_2017_5_Fig4_HTML.jpg;PMC5932236__nihms941942f4.jpg;PMC5964982__nihms967212f2.jpg;PMC6072433__c5tx00469a-f4.jpg;PMC6086630__IJO-53-04-1557-g06.jpg;PMC6100747__nihms-984701-f0003.jpg;PMC6167501__bsr-38-bsr20180511-g8.jpg;PMC6172368__MMR-18-05-4313-g02.jpg;PMC6198802__nihms-991974-f0003.jpg;PMC6231613__pone.0206475.g003.jpg;PMC6363221__pcbi.1006685.g009.jpg;PMC6400837__fphar-10-00145-g001.jpg;PMC6447777__fphys-10-00227-g002.jpg;PMC6513836__12250_2019_114_Fig7_HTML.jpg;PMC6667378__giz088fig1.jpg;PMC6826584__genes-10-00815-g005.jpg;PMC6889432__13578_2019_361_Fig5_HTML.jpg;PMC6895189__41598_2019_54838_Fig4_HTML.jpg
29 KDM1A GSE86874 23028 PMC4031539__zbc0241484820005.jpg;PMC5683310__cddiscovery201771-f2.jpg
30 KDM6B GSE93395 23135 PMC3694431__nihms476365f5.jpg;PMC3708595__nihms474972f4.jpg;PMC3778921__nihms398769f4.jpg;PMC4447342__pcbi.1004293.g002.jpg;PMC4885862__fcimb-06-00058-g0003.jpg;PMC6126141__NRR-13-1534-g001.jpg
31 MALAT1 GSE110525 378938 NA
32 MTHFD2 GSE100261 10797 PMC1852210__zh80070710350001.jpg;PMC2723760__bire-80-05-01-f04.jpg;PMC3044438__nihms269304f3.jpg;PMC3174208__pone.0024757.g001.jpg;PMC3227667__pone.0028408.g003.jpg;PMC3805607__pone.0077489.g002.jpg;PMC3920946__cddis2013393f1.jpg;PMC3930365__toxsci_kft276_f0005.jpg;PMC3981821__pone.0094460.g006.jpg;PMC4047858__cddis2014166f7.jpg;PMC4439078__pone.0127768.g005.jpg;PMC4486472__emss-63689-f0002.jpg;PMC4656203__14_192_odinf1.jpg;PMC4777532__pone.0150495.g003.jpg;PMC4811486__oncotarget-07-1633-g005.jpg;PMC4928883__1600200-F3.jpg;PMC5445660__nihms856927f2.jpg;PMC5604037__pnas.1710366114fig06.jpg;PMC5768892__gr6.jpg;PMC6027299__genes-09-00303-g002.jpg;PMC6039250__nihms954349f5.jpg;PMC6051204__CAM4-7-2797-g001.jpg;PMC6117394__fonc-08-00333-g0003.jpg;PMC6347283__JME-18-0058fig2.jpg;PMC6514310__jkns-2019-0027f2.jpg;PMC6637639__12864_2019_5836_Fig2_HTML.jpg;PMC6873590__fonc-09-01215-g0001.jpg
33 MTHFD2 GSE81062 10797 PMC1852210__zh80070710350001.jpg;PMC2723760__bire-80-05-01-f04.jpg;PMC3044438__nihms269304f3.jpg;PMC3174208__pone.0024757.g001.jpg;PMC3227667__pone.0028408.g003.jpg;PMC3805607__pone.0077489.g002.jpg;PMC3920946__cddis2013393f1.jpg;PMC3930365__toxsci_kft276_f0005.jpg;PMC3981821__pone.0094460.g006.jpg;PMC4047858__cddis2014166f7.jpg;PMC4439078__pone.0127768.g005.jpg;PMC4486472__emss-63689-f0002.jpg;PMC4656203__14_192_odinf1.jpg;PMC4777532__pone.0150495.g003.jpg;PMC4811486__oncotarget-07-1633-g005.jpg;PMC4928883__1600200-F3.jpg;PMC5445660__nihms856927f2.jpg;PMC5604037__pnas.1710366114fig06.jpg;PMC5768892__gr6.jpg;PMC6027299__genes-09-00303-g002.jpg;PMC6039250__nihms954349f5.jpg;PMC6051204__CAM4-7-2797-g001.jpg;PMC6117394__fonc-08-00333-g0003.jpg;PMC6347283__JME-18-0058fig2.jpg;PMC6514310__jkns-2019-0027f2.jpg;PMC6637639__12864_2019_5836_Fig2_HTML.jpg;PMC6873590__fonc-09-01215-g0001.jpg
34 NAP1L3 GSE106170 4675 NA
35 PARP GSE91051 NA NA
36 PCAT1 GSE124519 100750225 NA
37 PEG10 GSE66304 23089 PMC3023296__gaq08403.jpg;PMC3271860__nihms346803f3.jpg;PMC3530456__pone.0052672.g005.jpg;PMC3966871__pone.0093305.g003.jpg;PMC4542789__12105_2014_597_Fig3_HTML.jpg
38 PPARD GSE89729 5467 PMC2559887__1471-2164-9-S2-S22-3.jpg;PMC2676302__1471-2164-10-142-5.jpg;PMC2737000__1471-2164-10-340-5.jpg;PMC3026990__PPAR2010-571783.005.jpg;PMC3076503__ijbsv07p0308g05.jpg;PMC3076503__ijbsv07p0308g10.jpg;PMC3253558__nihms330699f1.jpg;PMC3297581__pgen.1002565.g006.jpg;PMC3692130__gkt451f1p.jpg;PMC3888473__fpc-24-81-g006.jpg;PMC3888473__fpc-24-81-g007.jpg;PMC4012993__pone.0091376.g006.jpg;PMC4392874__13075_2015_590_Fig2_HTML.jpg;PMC4472614__13046_2015_178_Fig4_HTML.jpg;PMC4654537__pone.0142924.g006.jpg;PMC4684962__nihms734999f5.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC4793894__bbv049f3p.jpg;PMC4973073__13071_2016_1716_Fig4_HTML.jpg;PMC5351668__oncotarget-08-6775-g005.jpg;PMC5393410__fig-3.jpg;PMC5421298__fendo-08-00099-g005.jpg;PMC5498621__11095_2017_2130_Fig6_HTML.jpg;PMC5559791__12864_2017_4035_Fig3_HTML.jpg;PMC5606034__40168_2017_341_Fig4_HTML.jpg;PMC5685850__WJG-23-7440-g004.jpg;PMC5796629__bmb-51-014f2.jpg;PMC5927979__103908.fig2.jpg;PMC6014489__IRNF_A_1456461_F0001_C.jpg;PMC6085667__12906_2018_2297_Fig5_HTML.jpg;PMC6105390__nihms959254f4.jpg;PMC6219086__12859_2018_2426_Fig5_HTML.jpg;PMC6279925__41598_2018_36008_Fig4_HTML.jpg;PMC6429383__molecules-24-00878-g007.jpg;PMC6442448__OMCL2019-8134678.001.jpg;PMC6442448__OMCL2019-8134678.002.jpg;PMC6499508__nqy356fig6.jpg;PMC6524193__AMS-15-36489-g005.jpg;PMC6540932__fcimb-09-00168-g0006.jpg;PMC6561916__41598_2019_44865_Fig4_HTML.jpg;PMC6679375__dmm-12-037192-g3.jpg;PMC6826333__or-42-06-2561-g00.jpg;PMC6883365__10.1177_1176935119889911-fig1.jpg;PMC6883365__10.1177_1176935119889911-fig2.jpg
39 PRDM11 GSE56235 56981 NA
40 PRMT5 GSE75215 10419 PMC3204462__PRA-6-311_F1.jpg;PMC3218055__pone.0027816.g003.jpg;PMC4031539__zbc0241484820005.jpg;PMC4905241__kmco-02-01-970480-g002.jpg;PMC5992185__41392_2018_15_Fig4_HTML.jpg;PMC6156463__fgene-09-00394-g005.jpg;PMC6538535__EMS83014-f003.jpg;PMC6721423__cancers-11-01076-g001.jpg
41 PUM1 GSE95412 9698 PMC3561376__pone.0054664.g005.jpg
42 PUM2 GSE95412 23369 PMC6096065__ol-16-03-3642-g05.jpg
43 RNF168 GSE106617 165918 PMC3104011__mjq04202.jpg;PMC3607076__fgene-04-00037-g004.jpg;PMC3901350__fig-1.jpg;PMC4614871__kccy-14-04-998070-g003.jpg;PMC4739752__nihms-753982-f0001.jpg;PMC4808796__biomolecules-06-00002-g001.jpg;PMC4817802__cshperspect-EPI-019521_F4.jpg;PMC4835495__fgene-07-00061-g002.jpg;PMC5472795__ncomms15751-f8.jpg;PMC5578105__ijms-18-01715-g001.jpg;PMC5916807__nihms958976f7.jpg;PMC6100577__molecules-23-01166-g003.jpg;PMC6466304__biology-08-00011-g002.jpg;PMC6535783__ijbsv15p0909g001.jpg
44 RNF168 GSE118532 165918 PMC3104011__mjq04202.jpg;PMC3607076__fgene-04-00037-g004.jpg;PMC3901350__fig-1.jpg;PMC4614871__kccy-14-04-998070-g003.jpg;PMC4739752__nihms-753982-f0001.jpg;PMC4808796__biomolecules-06-00002-g001.jpg;PMC4817802__cshperspect-EPI-019521_F4.jpg;PMC4835495__fgene-07-00061-g002.jpg;PMC5472795__ncomms15751-f8.jpg;PMC5578105__ijms-18-01715-g001.jpg;PMC5916807__nihms958976f7.jpg;PMC6100577__molecules-23-01166-g003.jpg;PMC6466304__biology-08-00011-g002.jpg;PMC6535783__ijbsv15p0909g001.jpg
45 RNF213 GSE125178 57674 PMC3108840__zjw0061138670006.jpg;PMC3792024__pone.0076746.g004.jpg;PMC5094751__pone.0165718.g012.jpg;PMC5260790__12920_2016_229_Fig3_HTML.jpg;PMC5468003__koni-06-05-1305531-g005.jpg;PMC6295338__nihms-1508952-f0004.jpg
46 ROCK1 GSE68925 6093 PMC1592643__zpq0400636720003.jpg;PMC2245955__1471-2202-8-100-5.jpg;PMC2586935__nihms74892f4.jpg;PMC2642890__nihms-89521-f0002.jpg;PMC2801177__ehp-117-1745f3.jpg;PMC3229036__nihms338544f2.jpg;PMC3257556__nihms-340849-f0002.jpg;PMC3260001__oncotarget-02-833-g001.jpg;PMC3263596__bar032f3.jpg;PMC3466406__febs0279-3290-f2.jpg;PMC3542528__msb201259-f5.jpg;PMC3634825__pone.0061946.g002.jpg;PMC3783562__nihms-496419-f0003.jpg;PMC3891682__epi-8-1023-g2.jpg;PMC3931013__nihms552613f3.jpg;PMC4069681__bsr2014-0021i001.jpg;PMC4263464__cin-suppl.4-2014-073f1.jpg;PMC4409526__nihms-665342-f0003.jpg;PMC4409526__nihms-665342-f0004.jpg;PMC4450280__BMRI2015-596789.007.jpg;PMC4463189__JCI76094.f1.jpg;PMC4547013__fped-03-00069-g001.jpg;PMC4599573__dddt-9-5511Fig5.jpg;PMC4621888__oncotarget-06-18250-g001.jpg;PMC4621929__12920_2015_144_Fig3_HTML.jpg;PMC4632093__oncsis201532f1.jpg;PMC4673612__srep17983-f4.jpg;PMC4697333__12859_2015_841_Fig4_HTML.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC4745004__srep20616-f8.jpg;PMC4776098__srep22392-f2.jpg;PMC4820109__pone.0152834.g003.jpg;PMC4876452__srep26350-f7.jpg;PMC4881570__ijms-17-00749-g003.jpg;PMC5039670__srep34420-f3.jpg;PMC5256872__pone.0170609.g007.jpg;PMC5342520__oncotarget-07-69857-g002.jpg;PMC5356817__oncotarget-08-2477-g005.jpg;PMC5457463__41598_2017_3027_Fig3_HTML.jpg;PMC5482192__MMR-16-01-0801-g04.jpg;PMC5570234__gkx278fig2.jpg;PMC5587765__41598_2017_10878_Fig3_HTML.jpg;PMC5831574__12967_2018_1418_Fig8_HTML.jpg;PMC5837509__kfx085f2.jpg;PMC5851908__gr1.jpg;PMC5854644__fimmu-09-00463-g009.jpg;PMC6018527__fendo-09-00322-g001.jpg;PMC6057448__oncotarget-09-29957-g007.jpg;PMC6097464__gr15.jpg;PMC6113163__gr4.jpg;PMC6273696__molecules-21-00148-g028.jpg;PMC6317189__12867_2018_118_Fig4_HTML.jpg;PMC6476910__fcell-07-00050-g002.jpg;PMC6743792__pcbi.1007317.g007.jpg;PMC6827427__fgene-10-01055-g006.jpg
47 ROR1 GSE96637 4919 PMC3775648__nihms495103f2.jpg;PMC4234172__nihms637610f2.jpg;PMC4367691__tlcr-03-03-122-f1.jpg;PMC4717619__13058_2015_665_Fig1_HTML.jpg;PMC5228603__nihms836274f3.jpg;PMC5316868__ncomms14443-f2.jpg;PMC5430761__41598_2017_1254_Fig9_HTML.jpg;PMC5727250__BPH-174-4701-g001.jpg;PMC6016889__10020_2018_1_Fig1_HTML.jpg;PMC6794554__WJN-8-83-g001.jpg
