Symbol GSE Entrez PFOCR
11 COX2 GSE80979 4513 PMC4715579__nihms-746092-f0006.jpg;PMC5995803__41598_2018_27293_Fig8_HTML.jpg;PMC6781638__NDT-15-2853-g0004.jpg;PMC6826402__cancers-11-01430-g001.jpg
12 DNM3OS GSE104295 100628315 NA
13 DRAIC GSE118101 145837 NA
14 E6AP GSE107245 NA NA
15 EFTUD2 GSE129619 9343 PMC2824905__nihms168106f2.jpg;PMC3494151__zjw0101242620004.jpg;PMC5524517__nihms873368f1.jpg;PMC6152442__krnb-15-06-1457936-g001.jpg;PMC6326667__aging-10-101691-g005.jpg;PMC6505517__12035_2018_1385_Fig4_HTML.jpg
16 EIF5A GSE104604 1984 PMC4992866__srep31697-f11.jpg
17 ELAVL2 GSE69092 1993 PMC3402624__nihms-376166-f0008.jpg;PMC3517581__pone.0051111.g007.jpg;PMC3852078__1471-2164-14-S5-S10-6.jpg;PMC4366240__pgen.1005053.g004.jpg;PMC4704567__PP_PP201500853R2_f5.jpg;PMC6119347__jmedgenet-2018-105319f02.jpg;PMC6351104__elife-35478-fig8.jpg;PMC6705791__pone.0221444.g005.jpg;PMC6705791__pone.0221444.g006.jpg
18 EPAS1 GSE62974 2034 PMC1963493__pcbi.0030171.g001.jpg;PMC1963493__pcbi.0030171.g006.jpg;PMC2516423__umj7702-086-f1.jpg;PMC2808224__pone.0008600.g001.jpg;PMC3360922__nihms357076f1.jpg;PMC3390412__ppat.1002798.g007.jpg;PMC3411240__843f5.jpg;PMC3606047__nihms438583f1.jpg;PMC3686674__1478-811X-11-42-3.jpg;PMC3686674__1478-811X-11-42-5.jpg;PMC3882030__nihms544221f1.jpg;PMC3938304__2049-3002-2-3-2.jpg;PMC4082330__nihms583789f2.jpg;PMC4214116__rccm.201408-1503ED_f1.jpg;PMC4373452__nihms-654960-f0003.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC5012644__nihms-809392-f0002.jpg;PMC5849426__nihms858058f7.jpg;PMC5855611__ijms-19-00389-g001.jpg;PMC6059757__OR-40-01-0083-g14.jpg;PMC6068205__TJP-596-2985-g002.jpg;PMC6172368__MMR-18-05-4313-g01.jpg;PMC6192719__IJMM-42-05-2489-g05.jpg;PMC6800910__SCI2019-2509606.002.jpg
19 Exoc5 GSE127736 NA NA
20 FOXP1 GSE108500 27086 PMC2536824__zh70140832680004.jpg;PMC5997167__kepi-13-03-1445901-g005.jpg;PMC6498404__fimmu-10-00715-g0004.jpg
21 GPAT4 GSE125178 137964 PMC2692402__zh10060956840001.jpg;PMC2737689__nihms125026f2.jpg;PMC2819352__nihms173210f6.jpg;PMC2992267__zbc0021141470008.jpg;PMC3319358__nihms366840f1.jpg;PMC3411066__zbc0331218300006.jpg;PMC3941198__nihms550509f1.jpg;PMC4585638__srep14187-f3.jpg;PMC6412627__ijms-20-00964-g001.jpg;PMC6469615__253_2019_9720_Fig2_HTML.jpg
22 GRP78 GSE115849 NA NA
23 H19 GSE80237 283120 NA
24 HBO1 GSE101972 NA NA
25 HMGA2 GSE107594 8091 PMC3652335__nihms459462f2.jpg;PMC3655998__pone.0064566.g006.jpg;PMC3681501__oncotarget-03-1641-g005.jpg;PMC4148364__MMR-10-04-2009-g04.jpg;PMC4373383__fmed-02-00015-g001.jpg;PMC4989048__gr3.jpg;PMC5568329__12864_2017_4055_Fig11_HTML.jpg;PMC5691663__nutrients-09-01046-g001.jpg;PMC6023839__gr5.jpg;PMC6291243__nihms-997295-f0003.jpg;PMC6556902__bby025f1.jpg
26 HPSE GSE126504 10855 PMC2966944__nihms238276f8.jpg;PMC3157194__gr4.jpg;PMC3766825__fphar-04-00110-g001.jpg;PMC3949320__fnbeh-08-00073-g0002.jpg;PMC4022669__pone.0097689.g008.jpg;PMC4059147__zbc0291487210005.jpg;PMC4146087__NRR-8-843-g005.jpg;PMC4603759__srep10738-f6.jpg;PMC4841755__nihms734274f5.jpg;PMC4930925__cshperspect-STH-023895_F3.jpg;PMC5482977__joces-130-188482-g1.jpg;PMC58927__pp0305902001.jpg
27 IL1B GSE121241 3553 PMC1766317__zpq0440639740005.jpg;PMC2394752__gb-2007-8-6-r104-4.jpg;PMC2559887__1471-2164-9-S2-S22-2.jpg;PMC2874810__1471-2164-11-253-3.jpg;PMC2975195__zbc0471037210011.jpg;PMC3001886__pone.0015315.g005.jpg;PMC3003513__ar2850-12.jpg;PMC3059259__nihms244021f2.jpg;PMC3066468__nihms217846f7.jpg;PMC3145576__1465-9921-12-94-5.jpg;PMC3156633__2044-5040-1-10-2.jpg;PMC3179938__1471-2172-12-50-3.jpg;PMC321618__zii0020410930007.jpg;PMC3377763__AD-1-3-199-Figure2.jpg;PMC3378977__gr1.jpg;PMC3382229__pone.0037708.g005.jpg;PMC3469658__pone.0046941.g005.jpg;PMC3515033__JEB073411F3.jpg;PMC3539150__fimmu-03-00414-g001.jpg;PMC3572966__pone.0056891.g005.jpg;PMC3573666__mbo0011314420006.jpg;PMC3581799__fnins-07-00021-g005.jpg;PMC3594545__nihms437561f1.jpg;PMC3625357__pnas.1222216110fig11.jpg;PMC3647218__pr2012119f6.jpg;PMC3656947__pone.0064182.g003.jpg;PMC3713848__nihms485536f9.jpg;PMC3762079__BMRI2013-942916.001.jpg;PMC3786254__emss-54430-f0002.jpg;PMC3789264__emm201376f6.jpg;PMC3789754__ppat.1003646.g008.jpg;PMC3881186__nihms262033f4.jpg;PMC3906328__cc-12-3459-g1.jpg;PMC3923765__pone.0087397.g002.jpg;PMC4184787__pone.0108553.g002.jpg;PMC4196962__pone.0110024.g006.jpg;PMC4214130__rccm.201404-0624OC_f5.jpg;PMC4220839__cmi201457f2.jpg;PMC4282831__nihms-640418-f0003.jpg;PMC4292729__koni-03-e955691-g001.jpg;PMC4322809__40001_2015_83_Fig2_HTML.jpg;PMC4323494__zmb9991007420009.jpg;PMC4338246__pone.0115827.g011.jpg;PMC4380423__pone.0122374.g005.jpg;PMC4426992__nihms686448f1.jpg;PMC4443835__nihms692168f1.jpg;PMC4467301__CG-16-107_F1.jpg;PMC4557958__ppat.1005121.g007.jpg;PMC4588138__cshperspectmed-TUB-021196_F1.jpg;PMC4594765__emss-62641-f0005.jpg;PMC4685486__fig-5.jpg;PMC4716876__nihms729609f2.jpg;PMC4849044__ijms-17-00590-g002.jpg;PMC5029567__10.1177_1947603516630787-fig8.jpg;PMC5040766__cmj-52-173-g001.jpg;PMC5043644__ijnppy_pyw037_f0006.jpg;PMC5069108__nihms772463f8.jpg;PMC5095680__mtna201664f4.jpg;PMC5146948__srep38761-f13.jpg;PMC5303602__MI2017-7659023.006.jpg;PMC5390045__fcimb-07-00119-g0010.jpg;PMC5434854__AJMG-174-235-g002.jpg;PMC5440014__dbi170017f1.jpg;PMC5702042__fimmu-08-01572-g008.jpg;PMC5705427__nihms892323f3.jpg;PMC5753598__nihms929555f7.jpg;PMC5796261__ijms-19-00318-g003.jpg;PMC5986551__gr5.jpg;PMC6130388__pnas.1800431115fig06.jpg;PMC6161739__jir-11-359Fig1.jpg;PMC6230558__fncel-12-00392-g0006.jpg;PMC6321004__ijms-19-03953-g003.jpg;PMC6507454__ol-17-06-5175-g04.jpg;PMC6556902__bby025f2.jpg;PMC6607389__ol-18-02-1179-g02.jpg;PMC6712555__fimmu-10-01984-g0002.jpg;PMC6752866__pone.0222869.g009.jpg;PMC6762932__ns0515030006.jpg;PMC6782235__ns0992989007.jpg;PMC6826333__or-42-06-2561-g00.jpg;PMC6880379__12974_2019_1639_Fig3_HTML.jpg
28 JAG1 GSE76421 182 PMC2654975__AJRCCM1796457f1.jpg;PMC2882520__nihms203259f3.jpg;PMC3059752__nihms240937f3.jpg;PMC3326558__bcr3059-8.jpg;PMC3365794__zef0031127770002.jpg;PMC3608394__nihms441874f6.jpg;PMC3751638__1471-2164-14-545-3.jpg;PMC3764819__zbc0411361500004.jpg;PMC3902172__nihms-498782-f0007.jpg;PMC4101832__1471-2407-14-249-2.jpg;PMC4268095__nihms586234f8.jpg;PMC4427301__pone.0126163.g004.jpg;PMC4468470__zjv9990905080008.jpg;PMC4621105__zjv9990909410002.jpg;PMC4822123__srep23972-f8.jpg;PMC5345336__CG-18-156_F4.jpg;PMC5411789__ajcr0007-0801-f7.jpg;PMC5615248__12918_2017_457_Fig1_HTML.jpg;PMC5615248__12918_2017_457_Fig2_HTML.jpg;PMC5731907__oncotarget-08-101697-g006.jpg;PMC5738678__ol-15-01-0031-g00.jpg;PMC5796706__pone.0192158.g001.jpg;PMC6012981__fig-5.jpg;PMC6034754__oncotarget-09-28951-g004.jpg;PMC6172368__MMR-18-05-4313-g02.jpg;PMC6231613__pone.0206475.g003.jpg;PMC6667378__giz088fig1.jpg
29 KDM1A GSE86874 23028 PMC2724029__fnmol-02-007-g004.jpg;PMC2803074__nihms151348f1.jpg;PMC3316891__ncomms1755-f8.jpg;PMC3871231__JCI69738.f2.jpg;PMC4031539__zbc0241484820005.jpg;PMC4139483__nihms-569421-f0001.jpg;PMC4265312__nihms606902f2.jpg;PMC4377327__nihms672442f6.jpg;PMC5289991__fcell-05-00007-g0001.jpg;PMC5520449__cdd201718f4.jpg;PMC5972417__409fig7.jpg;PMC6311566__10.1177_2516865718820946-fig1.jpg;PMC6466304__biology-08-00011-g002.jpg;PMC6523720__cells-08-00300-g001.jpg;PMC6829479__cells-08-01212-sch001.jpg
30 KDM6B GSE93395 23135 PMC3541667__cr2012119f5.jpg;PMC4403492__zjv9990903040001.jpg;PMC5187938__ijms-17-02138-g001.jpg;PMC5536078__ijms-18-01591-g001a.jpg;PMC6012981__fig-5.jpg;PMC6321920__JVI.01012-17-f0001.jpg;PMC6523720__cells-08-00300-g001.jpg
31 MALAT1 GSE110525 378938 NA
32 MTHFD2 GSE100261 10797 PMC2692634__nihms108083f1.jpg;PMC2723760__bire-80-05-01-f04.jpg;PMC3930365__toxsci_kft276_f0005.jpg;PMC3946676__nihms524312f2.jpg;PMC4439078__pone.0127768.g005.jpg;PMC4656203__14_192_odinf1.jpg;PMC5286373__EMBJ-36-252-g003.jpg;PMC5638134__nihms868826f6.jpg;PMC5762868__41598_2017_18456_Fig1_HTML.jpg;PMC6027299__genes-09-00303-g002.jpg;PMC6036444__ol-16-02-1827-g00.jpg;PMC6388767__nihms-1007098-f0001.jpg;PMC6637639__12864_2019_5836_Fig2_HTML.jpg
33 MTHFD2 GSE81062 10797 PMC2692634__nihms108083f1.jpg;PMC2723760__bire-80-05-01-f04.jpg;PMC3930365__toxsci_kft276_f0005.jpg;PMC3946676__nihms524312f2.jpg;PMC4439078__pone.0127768.g005.jpg;PMC4656203__14_192_odinf1.jpg;PMC5286373__EMBJ-36-252-g003.jpg;PMC5638134__nihms868826f6.jpg;PMC5762868__41598_2017_18456_Fig1_HTML.jpg;PMC6027299__genes-09-00303-g002.jpg;PMC6036444__ol-16-02-1827-g00.jpg;PMC6388767__nihms-1007098-f0001.jpg;PMC6637639__12864_2019_5836_Fig2_HTML.jpg
34 NAP1L3 GSE106170 4675 NA
35 PARP GSE91051 NA NA
36 PCAT1 GSE124519 100750225 NA
37 PEG10 GSE66304 23089 PMC3023296__gaq08403.jpg;PMC3530456__pone.0052672.g005.jpg;PMC3966871__pone.0093305.g003.jpg;PMC5087052__pnas.1607003113fig08.jpg;PMC5500902__fncel-11-00192-g0006.jpg
38 PPARD GSE89729 5467 PMC21174__pq1581873007.jpg;PMC2737000__1471-2164-10-340-5.jpg;PMC2764370__nihms151277f2.jpg;PMC2864807__09_173_.de_ref2.jpg;PMC3076503__ijbsv07p0308g10.jpg;PMC3253558__nihms330699f1.jpg;PMC3423195__nihms374601f5.jpg;PMC3701283__zeg9991300070006.jpg;PMC3858477__pone.0080726.g004.jpg;PMC3888473__fpc-24-81-g007.jpg;PMC3903477__pone.0085140.g001.jpg;PMC3983859__1742-2094-11-72-6.jpg;PMC4012993__pone.0091376.g006.jpg;PMC4192274__12864_2013_6513_Fig2_HTML.jpg;PMC4277084__rsif20140937-g2.jpg;PMC4472614__13046_2015_178_Fig4_HTML.jpg;PMC4654537__pone.0142924.g006.jpg;PMC4684962__nihms734999f5.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC4841025__ists_a_1151491_f0006_c.jpg;PMC4989114__msw118f10p.jpg;PMC4989114__msw118f1p.jpg;PMC5005393__10354_2016_488_Fig1_HTML.jpg;PMC5498621__11095_2017_2130_Fig6_HTML.jpg;PMC5559791__12864_2017_4035_Fig3_HTML.jpg;PMC5766549__41598_2017_18916_Fig4_HTML.jpg;PMC5771206__12864_2017_4292_Fig6_HTML.jpg;PMC5780129__MMR-17-01-0216-g07.jpg;PMC5927979__103908.fig2.jpg;PMC5944178__12864_2018_4737_Fig7_HTML.jpg;PMC6105390__nihms959254f4.jpg;PMC6129574__fmicb-09-02025-g005.jpg;PMC6278419__OR-41-01-0279-g05.jpg;PMC6279925__41598_2018_36008_Fig4_HTML.jpg;PMC6524193__AMS-15-36489-g005.jpg;PMC6720712__ijms-20-04063-g007.jpg;PMC6826333__or-42-06-2561-g00.jpg;PMC6883365__10.1177_1176935119889911-fig1.jpg;PMC6883365__10.1177_1176935119889911-fig2.jpg
39 PRDM11 GSE56235 56981 NA
40 PRMT5 GSE75215 10419 PMC1852756__7400941-f2.jpg;PMC2691592__pgen.1000514.g007.jpg;PMC2901871__nihms212547f7.jpg;PMC4031539__zbc0241484820005.jpg;PMC4248790__nihms644076f4.jpg;PMC4661236__fpls-06-01056-g0007.jpg;PMC5594548__12862_2017_1061_Fig7_HTML.jpg
41 PUM1 GSE95412 9698 PMC3561376__pone.0054664.g005.jpg
42 PUM2 GSE95412 23369 PMC2775236__cib0205_0411_fig001.jpg;PMC3149745__nihms287388f1.jpg;PMC5355523__12035_2016_9817_Fig7_HTML.jpg;PMC6096065__ol-16-03-3642-g05.jpg
43 RNF168 GSE106617 165918 PMC2989631__10.1177_1947601910382774-fig1.jpg;PMC3899800__nihms-547053-f0002.jpg;PMC4265676__2726fig7.jpg;PMC4817802__cshperspect-EPI-019521_F4.jpg;PMC4905335__kmco-03-02-1030535-g001.jpg;PMC4990112__rrw02703.jpg;PMC5084677__CAS-107-1406-g008.jpg;PMC5123617__EMMM-8-527-g007.jpg;PMC5528312__MOL2-5-349-g002.jpg;PMC5681673__41598_2017_15194_Fig4_HTML.jpg;PMC6466304__biology-08-00011-g002.jpg;PMC6535783__ijbsv15p0909g001.jpg
44 RNF168 GSE118532 165918 PMC2989631__10.1177_1947601910382774-fig1.jpg;PMC3899800__nihms-547053-f0002.jpg;PMC4265676__2726fig7.jpg;PMC4817802__cshperspect-EPI-019521_F4.jpg;PMC4905335__kmco-03-02-1030535-g001.jpg;PMC4990112__rrw02703.jpg;PMC5084677__CAS-107-1406-g008.jpg;PMC5123617__EMMM-8-527-g007.jpg;PMC5528312__MOL2-5-349-g002.jpg;PMC5681673__41598_2017_15194_Fig4_HTML.jpg;PMC6466304__biology-08-00011-g002.jpg;PMC6535783__ijbsv15p0909g001.jpg
45 RNF213 GSE125178 57674 PMC3108840__zjw0061138670006.jpg;PMC5094751__pone.0165718.g012.jpg;PMC5260790__12920_2016_229_Fig3_HTML.jpg;PMC5468003__koni-06-05-1305531-g005.jpg;PMC6295338__nihms-1508952-f0004.jpg
46 ROCK1 GSE68925 6093 PMC2064808__jcb1770515f09.jpg;PMC2245955__1471-2202-8-100-5.jpg;PMC2386254__pone.0002254.g011.jpg;PMC2582888__jcb1830711f08.jpg;PMC2685929__DEV023820F7.jpg;PMC2758708__ddp34702.jpg;PMC2857412__z7g0100901020001.jpg;PMC3011268__cam0404_0553_fig002.jpg;PMC3095924__AJRCMB444524f6.jpg;PMC3097427__nihms290962f10.jpg;PMC3104579__cib0402_0201_fig001.jpg;PMC3146975__nihms285225f3.jpg;PMC3371699__1163fig4.jpg;PMC3527948__zbc0011333360006.jpg;PMC3549040__nihms431253f8.jpg;PMC3579383__fig-1.jpg;PMC3744771__nihms449807f1.jpg;PMC3745337__zbc0381359050006.jpg;PMC3789264__emm201376f5.jpg;PMC3838179__zmb9991001830011.jpg;PMC3839898__pone.0081113.g006.jpg;PMC3870884__nihms532208f7.jpg;PMC3891682__epi-8-1023-g2.jpg;PMC3942330__tisb-1-e26938-g6.jpg;PMC3950223__pone.0091580.g005.jpg;PMC3974087__bjc201470f6.jpg;PMC4018296__pone.0096776.g006.jpg;PMC4023229__emss-58506-f0002.jpg;PMC4202148__oncotarget-05-7610-g006.jpg;PMC4409526__nihms-665342-f0003.jpg;PMC4409526__nihms-665342-f0004.jpg;PMC4430197__nihms688280f1.jpg;PMC4450212__BMRI2015-134050.004.jpg;PMC4450280__BMRI2015-596789.007.jpg;PMC4495419__srep11759-f7.jpg;PMC4532781__cdd201580f1.jpg;PMC4534147__12933_2015_271_Fig7_HTML.jpg;PMC4561339__fnmol-08-00051-g0001.jpg;PMC4621929__12920_2015_144_Fig3_HTML.jpg;PMC4696116__nihms-736217-f0001.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC4950326__10.1177_1535370215622584-fig8.jpg;PMC5002070__gr7.jpg;PMC5004872__joces-129-183772-g7.jpg;PMC516631__7600359f10.jpg;PMC5312359__oncotarget-07-59932-g007.jpg;PMC5356817__oncotarget-08-2477-g005.jpg;PMC5363734__10.1177_0271678X15621069-fig7.jpg;PMC5458539__rbx010f10.jpg;PMC5516276__rcmb.2016-0328OC_f4.jpg;PMC5664959__nihms887390f2.jpg;PMC5964100__41419_2018_641_Fig8_HTML.jpg;PMC6113163__gr4.jpg;PMC6360516__gr7.jpg;PMC6750892__i1552-5783-60-12-3897-f11.jpg
47 ROR1 GSE96637 4919 PMC139153__01-0192f1.jpg;PMC2771246__jcbnSR09-41f03.jpg;PMC3173801__emboj2011311f1.jpg;PMC4034727__mju01301.jpg;PMC4423889__pone.0125791.g003.jpg;PMC4545213__nihms716292f4.jpg;PMC5316868__ncomms14443-f2.jpg;PMC5919979__41420_2018_51_Fig2_HTML.jpg;PMC6450147__TCMJ-31-67-g001.jpg;PMC6515079__MI2019-3481430.010.jpg;PMC6769682__ijms-20-04431-g005.jpg
48 RUVBL2 GSE105253 10856 PMC2811176__pone.0008887.g002.jpg;PMC3494151__zjw0101242620004.jpg;PMC4031539__zbc0241484820005.jpg;PMC4454399__cas0105-1384-f2.jpg;PMC4715579__nihms-746092-f0006.jpg;PMC5423198__MOL2-10-1344-g005.jpg;PMC5600417__gr1.jpg;PMC5779689__pone.0191607.g002.jpg;PMC6281172__nihms-1510890-f0005.jpg;PMC6727741__mbc-30-1834-g008.jpg
49 SENCR GSE122490 100507392 NA
50 SET GSE83635 6418 PMC1855784__zjb0070766690001.jpg;PMC2515276__nihms60385f2.jpg;PMC3117879__pone.0021131.g001.jpg;PMC3352041__1471-2105-13-36-1.jpg;PMC3428307__pone.0043595.g001.jpg;PMC3480395__pone.0047326.g001.jpg;PMC368161__pbio.0020065.g007.jpg;PMC3745337__zbc0381359050006.jpg;PMC4214635__pgen.1004772.g002.jpg;PMC4260676__fpls-05-00644-g0001.jpg;PMC4278533__ijc0136-0656-f4.jpg;PMC4281293__nihms625023f2.jpg;PMC4334135__11306_2014_713_Fig1_HTML.jpg;PMC4611218__WJG-13-3847-g002.jpg;PMC4661858__ijms-16-26000-g003.jpg;PMC4717906__nihms-750562-f0001.jpg;PMC4721010__12859_2016_884_Fig1_HTML.jpg;PMC4783960__ijms-17-00228-g001.jpg;PMC4784386__12920_2016_173_Fig4_HTML.jpg;PMC4797117__12859_2016_981_Fig2_HTML.jpg;PMC4923873__srep28042-f1.jpg;PMC4933178__zbc0291646780009.jpg;PMC4955784__nihms-796192-f0001.jpg;PMC4960310__ncomms12224-f4.jpg;PMC5310888__pone.0171689.g002.jpg;PMC5341000__zjw0021754870010.jpg;PMC5522997__BPH-174-2716-g009.jpg;PMC5553593__12864_2017_3978_Fig7_HTML.jpg;PMC5595906__41598_2017_11840_Fig4_HTML.jpg;PMC5773188__elife-31535-fig9.jpg;PMC5853505__erx21906.jpg;PMC5905170__12967_2018_1476_Fig1_HTML.jpg;PMC6010716__JCMM-22-3397-g003.jpg;PMC6049856__oncotarget-09-29743-g001.jpg;PMC6112260__BMRI2018-2617432.009.jpg;PMC6602530__nihms-1029574-f0003.jpg;PMC6637639__12864_2019_5836_Fig2_HTML.jpg;PMC6650088__pcbi.1007088.g002.jpg
51 SHARPIN GSE77261 81858 PMC3594545__nihms437561f1.jpg;PMC4658161__pone.0143423.g007.jpg;PMC5037286__cmi201640f2.jpg;PMC5811474__fcell-06-00011-g0005.jpg;PMC5856386__12974_2018_1117_Fig8_HTML.jpg;PMC5861197__fcimb-08-00078-g0004.jpg;PMC6298254__sdata2018289-f3.jpg
52 SIRT7 GSE99596 51547 PMC134744__mb2220913008.jpg;PMC3628696__nihms-452329-f0005.jpg;PMC3635124__emss-52949-f0001.jpg;PMC3812180__pone.0074009.g006.jpg;PMC3858477__pone.0080726.g004.jpg;PMC3980586__nihms-565978-f0001.jpg;PMC4166537__nihms615541f4.jpg;PMC4662909__nihms721386f2.jpg;PMC4817802__cshperspect-EPI-019521_F4.jpg;PMC5469033__nihms863705f1.jpg;PMC5618938__epi-08-1637-g2.jpg;PMC5824489__fig-3.jpg;PMC6594283__OMCL2019-3187972.007.jpg;PMC6857111__fonc-09-01195-g0005.jpg;PMC6883365__10.1177_1176935119889911-fig1.jpg
53 SNHG12 GSE138219 85028 NA
54 SOCS3 GSE122486 9021 PMC209479__JCI0114662.f2.jpg;PMC2408775__mv-v14-1020-f6.jpg;PMC2874810__1471-2164-11-253-3.jpg;PMC2906263__zbc0311023850003.jpg;PMC2912833__1471-2172-11-39-4.jpg;PMC3732459__nihms399195f3.jpg;PMC3841051__phy20001-e00120-f4.jpg;PMC3896784__1478-811X-12-4-8.jpg;PMC4077663__nihms-606048-f0001.jpg;PMC4169761__nihms584367f1.jpg;PMC4281710__rsob-4-140178-g2.jpg;PMC4314327__nihms-634611-f0003.jpg;PMC4443835__nihms692168f1.jpg;PMC4791550__srep23128-f2.jpg;PMC4841025__ists_a_1151491_f0005_c.jpg;PMC5357784__JI_1601281_f5.jpg;PMC5390594__JDR2017-4504612.002.jpg;PMC5405508__12879_2017_2355_Fig8_HTML.jpg;PMC5527809__MOL2-2-272-g002.jpg;PMC5774249__en-159-647-f8.jpg;PMC5854428__ppat.1006839.g002.jpg;PMC5858971__nihms943612f2.jpg;PMC6150497__pone.0204100.g003.jpg;PMC6274717__ijms-19-03528-g002.jpg;PMC6518697__40478_2019_727_Fig6_HTML.jpg;PMC6520728__cancers-11-00471-g006.jpg
55 SRA1 GSE52385 10011 PMC2172842__200303023f5.jpg;PMC2718491__gb-2009-10-6-226-3.jpg;PMC6113163__gr4.jpg
56 TRIM24 GSE77140 8805 PMC3251560__pone.0028979.g007.jpg;PMC3612515__ajtr0005-0200-f1.jpg;PMC3612515__ajtr0005-0200-f2.jpg;PMC3688698__nihms447067f3.jpg;PMC3792429__cdd2013107f1.jpg;PMC3937154__1471-2164-15-91-5.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC5405508__12879_2017_2355_Fig6_HTML.jpg;PMC5522276__oncotarget-08-40896-g002.jpg;PMC5690809__nihms912150f7.jpg;PMC6129574__fmicb-09-02025-g005.jpg
