GSE	description	keyword
GSE58365	The BCL6 RD2 domain governs commitment of activated B-cells to form germinal centers	NA
GSE69687	Wnt addiction of genetically defined cancers reversed by PORCN inhibition	Cancer
GSE54729	Transcriptome profiling of a mouse model of alveolar soft part sarcoma	NA
GSE52385	Next generation sequencing of the transcriptome in MCF-7 cells with/without SRA knockdown	knockdown
GSE66158	Suppression of NAF-1 in Breast Cancer Cells Reduces their Tumorigenicity by Interfering with Cellular Iron Distribution and Metabolism and Ensuing ROS Formation and Apoptosis	Breast cancer/Cancer
GSE73471	The bromodomain protein BRD4 regulates splicing during heat shock	Cancer
GSE66573	Defective structural RNA processing in relapsing-remitting multiple sclerosis	NA
GSE80651	RNA sequencing analysis of human podocytes reveals glucocorticoid regulated gene networks targeting non-immune pathways	pathway
GSE72589	Transcriptome-wide Quantitative Analysis of XLPDR-derived human dermal fibroblasts with POLA1 deficiency	pathway
GSE69092	ELAVL2-regulated transcriptional networks in human neurons link atlernative splicing, autism and human neocortical evolution	Autism spectrum disorder/knockdown
GSE74270	RNA sequencing of Formalin-Fixed, Paraffin-Embedded Specimens for Gene Expression Quantification and Data Mining	NA
GSE52633	MicroRNA Marker Based Prognostication of Oral Squamous Cell Carcinoma	Cancer
GSE68452	Role of cervicovaginal microbiota in genital inflammation	NA
GSE62974	RNA sequencing (RNA-SEQ) of EPAS1 knockdown by siRNA in endothelial cells	siRNA/knockdown
GSE72460	Transcriptome of human ILC2s; primary vs IL-1b-primed	NA
GSE75146	Nudt3 is a mRNA Decapping Enzyme That Modulates Cell Migration	Breast cancer/Cancer/pathway
GSE66556	Mitochondrial phosphoenolpyruvate carboxykinase (PCK2) regulates metabolic adaptation and glucose-independent tumor cell growth	Cancer/Lung cancer/Non-small cell lung cancer/pathway
GSE86202	Analyzing the interactions of mRNAs, miRNAs, lncRNAs and circRNAs to predict competing endogenous RNA networks in glioblastoma	Cancer/Glioma/pathway
GSE68919	Tumor exosome integrins determine organotropic metastasis	Cancer
GSE77682	RNA-seq of human fibroblasts after irradiation	NA
GSE77072	Spliced synthetic genes as internal controls in RNA sequencing experiments.	Cancer
GSE65107	Diarrhea in lymphocytic colitis: ERK1/2-dependent ENaC dysregulation and claudin-4-, -5- and -8-related barrier defects	NA
GSE69618	An orthologous epigenetic gene expression signature derived from differentiating embryonic stem cells identifies regulators of cardiogenesis	NA
GSE63807	Transcriptome of Stabilin-1 siRNA transfected human monocytes	siRNA
GSE71560	Prolyl hydroxylation regulates protein degradation, synthesis, and splicing in human induced pluripotent stem cell-derived cardiomyocytes	pathway
GSE67250	Integration of genome-wide DNA methylome and transcriptome of human intestinal fibroblasts reveals novel candidate gene signatures in Crohn’s disease-associated fibrosis	NA
GSE78506	24hr CA treatment vs. DMSO in HCT116 cells (from 'Identification of CDK8 and CDK19 substrates in human cells using cortistatin A and quantitative phosphoproteomics')	knockdown/pathway
GSE75215	RNA deep sequencing to compare genome-wide differences between PRMT5/knockdown and control AML cells	knockdown
GSE83415	CD4+ T Cells Gene Expression-Based Biomarkers in Juvenile Idiopathic Arthritis (JIA)	NA
GSE64413	HITS-CLIP analysis uncovers a link between the Kaposi's sarcoma associated herpesvirus ORF57 protein and host pre-mRNA metabolism	NA
GSE66173	Genetic disruption of COX-1 inhibits multiple oncogenic pathways	pathway
GSE73893	Cross-talk between PRMT1-mediated methylation and ubiquitylation on RBM15 controls RNA splicing	NA
GSE63265	Combinatorial targeting of nuclear export and translation of RNA inhibits aggressive B-cell lymphoma	pathway
GSE72268	Reprogramming postnatal human epidermal keratinocytes toward functional neural crest fates	NA
GSE75291	RNA-seq analysis upon ARID1B overexpression	knockdown
GSE77513	Capturing the biology of mild versus severe disease in a pluripotent stem cell-based model of Familial Dysautonomia	NA
GSE89057	RNA-seq of SOX5 overexpressing primary human neuronal progenitors	NA
GSE89714	Differential gene expressions in the heart of hypertrophic cardiomyopathy patients	Cardiomyopathy
GSE89879	Transcriptome profiling (RNA-seq) of CREBBP+/+ and CREBBP+/- clones of U2932 DLBCL cell line	pathway
GSE90013	HBEC-shp53-PCHD7	NA
GSE86654	Identifying markers predicting successful graft outcome for clinical translation of hESC-based cell therapy for Parkinson’s disease	Parkinson’s disease/Parkinson
GSE82237	The DPYSL2 gene connects mTOR and schizophrenia	Schizophrenia
GSE69511	Transcriptome analysis of Jurkat T-ALL clones from control and CBAP-knockdown/knockout sets	knockout/knockdown
GSE59598	mRNA expression in human DAOY cells	knockdown
GSE80095	Transcriptome Profiling of Human Primary Monocytes	NA
GSE75524	Activation of the IGF1 pathway mediates changes in cellular contractility and motility in single-suture craniosynostosis	Craniosynostosis/pathway
GSE53066	Anaylsis of the effect of down-regulation of the EWS-FLI1 fusion protein in Ewing Sarcoma cells by RNA-seq.	NA
GSE89729	Quantitative Analysis of PPARD Transcriptomes  in Colon Cancer Cells by Next Generation Sequencing (NGS)	Cancer
GSE89479	Self-organized amniogenesis by human pluripotent stem cells in a biomimetic implantation-like niche	pathway
GSE70404	Investigation about Monocytes in metastatic breast cancer patients under chemotherapy +/- Avastin	Breast cancer/Cancer
GSE77649	Human blood CD1c⁺ dendritic cells encompass CD5-high and CD5-low subsets that differ significantly in phenotype, gene expression and functions	NA
GSE78081	Immunological Imbalance in Fibrodysplasia Ossificans Progressiva Revealed by PBMC Transcriptome Analysis	NA
GSE79613	iPSCs Reveal Protective Modifiers of the BMPR2 mutation in Pulmonary Arterial Hypertension	NA
GSE80237	RNA-seq analysis reveals profound changes in transcript profiles between siCon- and siH19-transfected EVT cells	knockdown
GSE81236	MicroRNA-28 replacement for non-Hodgkin lymphoma therapy	NA
GSE83717	Identification and validation of differentially expressed transcripts by RNA-Sequencing of formalin-fixed, paraffin-embedded (FFPE) lung tissue from patients with Idiopathic Pulmonary Fibrosis	Idiopathic pulmonary fibrosis
GSE84237	Integrated Systems Biology Analysis of KSHV Latent Infection Reveals Viral Induction and Reliance on Peroxisome Mediated Lipid Metabolism	NA
GSE84829	Identification of mesothelial-to-mesenchymal gene signature in ascitic fluid-isolated mesothelial cells through RNA-sequencing	Cancer
GSE85271	KANK1 inhibits cell growth by inducing apoptosis though regulating CXXC5 in human malignant peripheral nerve sheath tumors	NA
GSE86874	KDM1A confers invasive and metastatic attributes in lung adenocarcinoma by modulating a non-canonical Integrin ß3-KRAS signaling pathway	pathway
GSE87626	Interaction between mitoNEET and NAF-1 in cancer cells	Cancer
GSE88848	Appropriately Differentiated ARPE-19 Cells Regain a Native Phenotype and Similar Gene Expression Profile	NA
GSE92293	RNA-seq in neutrophils from Juvenile Idiopathic Arthritis	NA
GSE92723	Transcriptome analysis for KDM6A mutated urothelial bladder carcinoma and EZH2 inhibitor treated KDM6A mutated urothelial bladder carcinoma	NA
GSE93292	Gene expression changes after LOC550643 silencing	siRNA
GSE93395	Gene expression profile of human multiple myeloma cell line MM.1S after knockdown of KDM6B	knockdown
GSE93124	Crizotinib v. DMSO in SW480 cells	NA
GSE94019	Transcriptomic Analysis of Endothelial Cells from Fibrovascular Membranes in Proliferative Diabetic Retinopathy	siRNA/pathway
GSE94280	Regulation of Lipids is Central to Replicative Senescence	NA
GSE94395	Targeted Apoptosis of Senescent Cells Restores Tissue Homeostasis in Response to Chemotoxicity and Aging	NA
GSE94464	Gene expression of  thyroid cancer cell lines	Cancer/Thyroid cancer
GSE94728	pSILAC mass spectrometry reveals ZFP91 as novel IMiD dependent substrate of the CRL4CRBN ligase	NA
GSE94736	Global transcriptional profiling using RNA sequencing and DNA methylation patterns in highly enriched mesenchymal cells from young versus elderly women.	pathway
GSE95059	Transcriptomic profiling of normal human cardiac fibroblast treated with halofuginone	NA
GSE97100	mRNAseq of Huntington's disease and control patient iPSC-derived brain microvascular endothelial cells	Huntington
GSE98139	Whole blood gene expression in adolescent Chronic Fatigue Syndrom (CFS) by RNA-Seq	NA
GSE99596	SIRT7 Antagonizes TGF-β Signaling and Inhibits Breast Cancer Metastasis	Breast cancer/Cancer
GSE71876	Survival of pancreatic cancer cells lacking KRAS function	Cancer/Pancreatic cancer
GSE77128	EPCR Expression Defines the Most Primitive Subset of Human HSPC and Is Required for Their In Vivo Activity	NA
GSE80819	Transcriptome analysis of ECFCs treated with GSK-343 and Panobinostat	pathway
GSE83647	Aneuploidy triggers an immune response	Cancer/pathway
GSE86497	miR-93 Targets in Human Endothelial Cells	NA
GSE87456	Hypoxic transcriptome of SQ20B human head and neck cancer cells	Cancer
GSE89799	The cohesin complex prevents Myc-induced replication stress	Cancer
GSE92322	circRNA-sequencing	NA
GSE95106	Gene expression in GBM with Cav3.2 inhibition	Cancer/knockdown/pathway
GSE95412	Identification of diverse target RNAs that are functionally regulated by human Pumilio proteins	knockdown
GSE96637	Knock-down of Ror1 in MDA-MB-231 cell line decreases cell invasiveness	knock-down
GSE97239	High-throughput RNA sequencing on circular RNA profiles of human bladder cancer tissues and normal bladder tissues	Cancer
GSE97259	Determination of tRNA aminoacylation levels by high throughput sequencing	NA
GSE97806	Disrupted prenatal RNA processing and myogenesis in congenital myotonic dystrophy	knockout/pathway
GSE98580	High capacity of the endoplasmic reticulum to prevent secretion and aggregation of amyloidgenic proteins	NA
GSE100417	Global transcriptome analysis of WT versus HEB-/- hESCs	NA
GSE102000	SERPINA3- a novel keratinocyte differentiation promotor mediates epidermal barrier repair response in psoriatic lesion	NA
GSE102741	RiboZero Gold paired-end RNA-seq data from postmortem tissue of the dorsolateral prefrontal cortex of autism spectrum disorder samples and healthy control samples	Autism spectrum disorder
GSE106170	RNA-seq analysis of umbilical cord blood cells upon knockdown of NAP1L3	knockdown
GSE106545	Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and AXL-/- astrocytes Transcriptomes	pathway
GSE76421	JAG1 Mediated Notch Signaling Regulates Secretory Cell Differentiation of the Human Airway Epithelium	knockdown
GSE85671	The Genomic Landscape of Atypical Fibroxanthoma	pathway
GSE86926	Dermal fibroblasts play a central role in skin model protection against C. albicans invasion	NA
GSE87554	Genome-wide transcriptional profiling of YAP target genes in human endothelial cells	siRNA/pathway
GSE87585	3D genome of multiple myeloma reveals spatial genome disorganization associated with copy number variations	Cancer
GSE90552	In Vivo Chemical Screen Nominates Valproic Acid as Pharmacologic Modulator of Hematopoietic Stem and Progenitor Cell Activity	NA
GSE91377	RNA-Seq comparative analysis of human neuroblastoma cells before and after their confrontation to the embryonic microenvironment	NA
GSE94888	FUS mutant human motoneurons transcriptome analysis reveals altered pathways and impairment of microRNA function	pathway
GSE95352	Novel SF3B1 Deletion Mutations Result in Aberrant RNA Splicing in CLL Patients	Cancer
GSE99298	Structural basis for human respiratory syncytial virus NS1-mediated modulation of host responses	pathway
GSE100530	Mutational landscape of splicing genes and functional consequences across 33 cancer types	Cancer
GSE101968	Obstructed defecation – an enteric neuropathy? An exploratory study of patient samples	Neuropathy
GSE101972	RNA-seq analysis of the role of HBO1 (KAT7/MYST2) in the ovarian cancer cell line UWB1.289.	Cancer
GSE102185	Effect of FGF13 depletion on the H460 cell line	NA
GSE102215	RNA-Seq in neutrophils from Antiphospholipid Syndrome	NA
GSE102392	Transcriptome analysis of human airway epithelium infected by Human Bocavirus 1	NA
GSE103305	Thyroid State Regulates Gene Expression in Human Whole Blood Cells	NA
GSE104177	Global modulation of signaling pathways by SARM RAD140 in AR/ER+ breast cancer xenografts	Breast cancer/Cancer/pathway
GSE104583	‘Naïve’ ESRRB+ iPSCs with the capacity for rapid neural differentiation	NA
GSE106148	α Cell Function and Gene Expression Are Compromised in Type 1 Diabetes	NA
GSE107245	Proteotranscriptomic profiling of potential E6AP targets in prostate cancer cells	Cancer/Prostate cancer
GSE98091	Transcriptomic analysis of the HOTAIR-regulated genes	NA
GSE98485	A SRp55-regulated alternative splicing network controls pancreatic beta cell survival and function	NA
GSE99231	ZFR coordinates crosstalk between RNA decay and transcription in innate immunity	knockdown
GSE103270	Transcriptional profile in dermal fibroblasts from patients with collagen VI related muscular dystrophy	pathway
GSE108500	Knockdown of FOXP1 promotes the development of lung adenocarcinoma	knockdown
GSE109798	Comparative Transcriptomics of Triple Negative Breast Cancer Stem Cells and Differentiated Tumor Cells Identifies Teneurin-4 as a Potential Therapeutic Target	Breast cancer/Cancer
GSE86430	Directional RNA-Seq on CD4+ T cells collected from children with asthma with/without obesity	Obesity
GSE86867	Expression level comparison under dividing and quiescent states in human primary fibroblasts	NA
GSE93904	Gene expression profile of CRC-derived HILEC	NA
GSE94332	mRNA expression profile of Lymphocytes by high-throuput sequencing	NA
GSE107762	Identification of PRMT5-dependent genes in ESA+CD24lowCD44+ MCF7 cells	Breast cancer/Cancer
GSE110114	A practical evaluation of alignment algorithms for RNA variant calling analysis	variant
GSE64744	Small RNA profiling reveals deregulated PTEN/PI3K/Akt pathway in asthmatic bronchial smooth muscle cells	pathway
GSE76663	miRNAs affected by antagomiR-17 treatment	NA
GSE77328	OmoMYC blunts promoter invasion by oncogenic MYC to inhibit gene expression characteristic of MYC-dependent tumors	NA
GSE77382	Arnica montana stimulates extracellular matrix gene expression in human macrophages differentiated to wound-healing phenotype.	NA
GSE78011	RNA-Seq Analysis of Anacardic Acid Treated MCF7 and MDA-MB-231 Breast Cancer Cell Lines	Breast cancer/Cancer
GSE82236	Whole-transcriptome profilings between a pair of HCA7-derived KRAS-wildtype cetuximab sensitive and resistant colon cancer cells from 3D culture	Cancer
GSE87532	Tristetraprolin disables prostate cancer maintenance by impairing proliferation and metabolic function	Cancer/Prostate cancer
GSE90884	Presence of NAD+-capped RNA in human cells: function and removal by the DXO deNADing Protein	NA
GSE91051	Gene expression changes due to PARP knockdown in human cells	knockdown
GSE91087	Comparing gene expression in iPSC derived RPE from control and AMD donors	NA
GSE93813	Exploiting Prmt5-orchestrated intron detention signatures to treat splicing-addicted malignant glioma tumors	Glioma
GSE94367	ATF4 inhibition by p62 represses stromal metabolic reprogramming and tumorigenesis II	NA
GSE96544	Expression analysis of Mebendazole treated THP-1 cells in three paired samples	NA
GSE97471	Differentially expressed genes from RNA-Seq and functional enrichment results are affected by the choice of single-end versus paired-end reads and stranded versus non-stranded protocols	NA
GSE99304	The stress granule transcriptome reveals principles of mRNA accumulation in stress granules.	NA
GSE101705	Existing blood transcriptional classifiers accurately discriminate active tuberculosis from latent infection in a South Indian cohort	NA
GSE102460	BACH2 in human plasma cell fate decision	siRNA
GSE103170	Neutrophils in systemic onset Juvenile Idiopathic Arthritis display sepsis-like features which can be reverted by IL-1 blockade	NA
GSE104295	Analysis of gene expression in SKOV3 ovarian cancer cells after knockdown of the long non-coding RNA DNM3OS	Cancer/knockdown
GSE106336	Transcriptional changes in pancreatic cancer cells associated with gemcitabine resistance	Cancer/Pancreatic cancer
GSE109082	Sex Differences in the Late First Trimester Human Placenta Transcriptome	NA
GSE66304	Knockout human reveal an essential role for Paternally Expressed 10 (PEG10) in JEG3 cell line development	knockout
GSE103327	Transcriptome profiling of HepG2 cells upon treatment of the menin-MLL inhibitor MI-503 or DMSO	NA
GSE107770	Alternative splicing of differentiated myeloid cell transcripts after infection by Anaplasma phagocytophilum impacts a selective group of cellular programs	Cancer
GSE111168	Next Generation Sequencing Facilitates Quantitative Analysis of Retinoblastoma Transcriptomes	NA
GSE46846	Induction of Prolonged Early G1 Arrest by CDK4/CDK6 Inhibition Reprograms Lymphoma Cells for Durable PI3Kδ Inhibition Through PIK3IP1	NA
GSE66632	The regulartory role of ZCCHC24 in splicing machinery	NA
GSE77879	Genetic Tagging During Human Mesoderm Differentiation Reveals Tripotent Lateral Plate Mesodermal Progenitors	NA
GSE98836	EWSR1 influences alternative splicing through direct and indirect mechanisms	Cancer/knock-down
GSE102187	Transcriptional Modulation of Human Endogenous Retroviruses in Primary CD4+ T Cells Following Vorinostat Treatment	NA
GSE103940	Integration of metabolomics and transcriptomic expression profiling discloses pivotal role of arachidonic acid metabolism pathway in response to acute hypoxia exposure	pathway
GSE106159	Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and TWIST1 knock out U87 xenograft mice transcriptomes	knock out
GSE106500	Immune Profiling of Premalignant Lesions in Patients with Lynch Syndrome 	Lynch syndrome
GSE112695	RNA-seq analysis of Retinoic Acid and Non-treated Control hiPSCs	NA
GSE114553	Induction of human SST and PV neurons by expressing a single transcription factor LHX6	NA
GSE95180	Nickel exposure induces persistent mesenchymal phenotype in human lung epithelial cells through epigenetic activation of ZEB1	Cancer
GSE99085	Human serum and heparin-free platelet lysate as appropriate xeno-free alternatives for production of human MuStem cell batches	NA
GSE100882	SAMHD1 is recurrently mutated in T-cell prolymphocytic leukemia [RNA-seq]	NA
GSE102881	Transcriptomic analysis of healthy donor and Sickle Cell Disease (SCD) hematopoietic stem/progenitor cells	NA
GSE107376	Gene expression profile of human placenta from T. Cruzi infected mothers	pathway
GSE107980	RING-finger protein 6 amplification activates JAK/STAT3 pathway by modifying SHP-1 ubiquitylation and associates with poor outcome in colorectal cancer	Cancer/Colorectal cancer/pathway
GSE108694	Gene expression analysis of human CD8+ T cells treated with a DOT1L inhibitor	Cancer
GSE109870	transcriptome studies of BRD4 inhibitor BDF-1253 on renal clear carcinoma 786-O cells	Cancer/Renal cell carcinoma
GSE110935	The role of CFTR in islet function	NA
GSE111084	A20 regulates canonical wnt-signaling through an interaction with RIPK4	Cancer
GSE113195	Sex differences in transcriptomic profiles in aged kidney cells of renin lineage	pathway
GSE79544	Idiopathic pulmonary fibrosis bronchoalveolar lavage cells RNA-seq indicates macrophage expression of pro-inflammatory M1/M2 activation concomitant with radical species metabolism inhibition	Idiopathic pulmonary fibrosis
GSE104604	Next Generation Sequencing upon siRNA-mediated knockdown of EIF5A in MCF-7 cells.	siRNA/knockdown
GSE104756	Differential gene expression tools exhibit substandard performance for long non-coding RNA-sequencing data	NA
GSE111538	RNA-seq data of adipocytes co-cocultured with OVCAR5 in Boyden chamber (4d)	NA
GSE90944	RNA-seq in HT-29 colorectal cancer cells after F. nucleatum treatment	Cancer/Colorectal cancer
GSE77261	Genome-wide expression change by SHARPIN knockdown in MCF-7 cells	knockdown
GSE82207	Total RNA sequencing of WT intestinal orgaonids.	NA
GSE92340	Patient iPSC-Derived Neurons for Disease Modeling of Frontotemporal Dementia with Mutation in CHMP2B	NA
GSE92724	Dermal endothelial cells of type 2 diabetic patients	Diabetes mellitus/Obesity/Type 2 diabetes mellitus
GSE93069	Transcriptome sequencing (RNA-Seq) of non-tumor kidney tissues from 36 patients undergoing nephrectomy for exploring the metabolic mechanism of sorafenib and identifying the major transcriptional regulation factors in sorafenib metabolism in kidney	Renal cell carcinoma
GSE94053	A sister of NANOG regulates genes expressed in pre-implantation human development	NA
GSE102220	Transcriptome-wide analysis of the role of HTLV-1 Tax PBM in T-Cells from infected humanized-mice (hu-Mice)	NA
GSE103763	Genome-wide analysis of herpes simplex virus type 1 (HSV-1) infected cells	pathway
GSE107981	Effector and regulatory T cells roll at high shear stress by inducible tether and sling formation	pathway
GSE108013	Microenvironmental-derived Regulation of HIF-Signaling Drives Transcriptional Heterogeneity in Glioblastoma Multiforme	Glioma
GSE110736	Next Generation Sequencing Facilitates Quantitative Analysis of transcriptomes of human cord blood CD34+ cells treated with HDAC5 inhibitor	NA
GSE114051	Discovery of a Drug Candidate for GLIS3-Associated Diabetes	NA
GSE114360	RNA transcriptome sequencing analysis of SGC-7901 cells transfected with tcons_00001221 shRNA or control shRNA	NA
GSE110713	PTHrP overexpression in MCF7 cells	Breast cancer/Cancer
GSE63015	Self-organization of polarized cerebellar plate neuroepithelium in three-dimensional culture of human pluripotent stem cells	NA
GSE63744	Large-scale profiling of intracellular signalling pathway activation reveals major distinctions between airway smooth muscle cells of asthmatics and non-asthmatics.	pathway
GSE67128	Comparative whole-transcriptomic analysis between normal and AKAP-Lbc-depleted human embryonic stem cells	NA
GSE71862	Differential Gene Expression between MCF10A and MCF7 cells	Breast cancer/Cancer
GSE77938	Transcriptome profiling of human keratoconus corneas through RNA sequencing identifies collagen synthesis disruption and downregulation of core elements of TGF-β, Hippo, and Wnt pathways	pathway
GSE79395	Knockdown of ADNP in HCT116 colon cancer cells	Cancer/knockdown
GSE79988	The myelin protein PMP2 is regulated by SOX10 and drives melanoma cell invasion	Melanoma
GSE85857	Runx1 stabilizes the mammary epithelial cell phenotype and prevents epithelial to mesenchymal transition	Breast cancer/Cancer/pathway
GSE91000	Cystathionine-β-Synthase Promotes Colon Carcinogenesis	NA
GSE102155	Mitotically associated long non-coding RNA, MANCR regulates cell cycle in triple negative breast cancer cells 	Breast cancer/Cancer
GSE114685	Disruption of GRIN2B impairs differentiation in human neurons	Intellectual disability
GSE114941	Adipocyte-derived lipids mediate melanoma progression via FATP proteins	Melanoma
GSE52036	RNA-seq analysis reveals endogenous aryl hydrocarbon receptor regulation is highly associated with eicosanoid synthesis and tumor necrosis factor activity in MCF-7 cancer cells	Cancer
GSE53239	RNA-sequencing of the brain transcriptome implicates dysregulation of neuroplasticity, circadian rhythms, and GTPase binding in bipolar disorder	pathway
GSE74729	A novel RAF kinase inhibitor with DFG-out binding mode: high efficacy in BRAF-mutant tumor xenograft models in the absence of normal tissue hyperproliferation	Melanoma
GSE77140	Gene expression profiles of rescue with wild type or SUMO double mutant TRIM24	knockdown
GSE77383	Transcriptomic profiling discloses molecular and cellular events related to neuronal differentiation in SH-SY5Y cells	pathway
GSE89443	RNA Seq analysis of NKX2-5 Null and Het human embryonic stem cells in cardiomyogenesis	NA
GSE101480	Targeted inhibition of STAT/TET1 axis as a potent therapeutic strategy for acute myeloid leukemia	Acute Myeloid Leukemia
GSE102246	mTOR kinase inhibition effectively decreases progression of a subset of neuroendocrine tumors that progress on rapalog therapy and delays cardiac impairment	NA
GSE104853	MicroRNA-125a-5p overexpression in human macrophages	pathway
GSE107104	Increased expression of immune regulatory mediators independently detects tuberculosis in advanced HIV	NA
GSE100261	Transcriptional impact of MTHFD2 in Human Aortic Endothelial Cells	siRNA/knockdown
GSE111900	Transcriptome-wide analysis of RNA binding and splicing alterations induced by SRSF2 P95 mutations in myelodysplasia	Acute Myeloid Leukemia
GSE106699	RNA sequencing of 13 T-cell acute lymphoblastic leukemia patients (5 TCRAD-MYC translocated T-ALL_8TAL1-LMO2 T-ALL)	NA
GSE115827	RNA-seq data from human SGBS adipocytes differentiated with marine oxohexadecenoic acids	NA
GSE102746	Transcriptome-analysis of patient-derived normal and ulcerative colitis intestinal epithelial organoids	NA
GSE111582	APOBEC mutation drives early-onset squamous cell carcinomas in recessive dystrophic epidermolysis bullosa	NA
GSE116327	Gene expression changes associated with Alexander disease (AxD)	NA
GSE116865	RNAseq of (Dimethylfumarate)DMF-induced changes in human CD8+ memory cells	pathway
GSE95120	The arrhythmogenic cardiomyopathy-specific coding and non-coding transcriptome in human cardiac stromal cells	Cardiomyopathy
GSE113790	RNA sequencing analysis of decidua tissues from unexplained recurrent spontaneous abortion patients and controls with induced abortions	NA
GSE106344	Lyophilized human cells stored at room temperature preserve multiple RNA species at excellent quality for RNA sequencing	NA
GSE110608	RNA sequencing analysis of human embryonic stem cells and axial progenitors	NA
GSE78928	Huntingtin aggregation impairs autophagy leading to Argonaute-2 accumulation and global microRNA dysregulation	Neurodegenerative disease/Huntington
GSE105264	Uridilation by TUT4/7 restricts retrotransposition of human Line-1s	NA
GSE83834	RHBDF2 in Stromal Fibroblasts Mediates TGF-b Signal and Enhances Cancer Cell Invasion via Intercellular Cross-Talk	Cancer
GSE102476	A radiolabeling-free, qPCR-based method for locus-specific pseudouridine detection	NA
GSE107581	PD-L1 (CD274) overexpression effect on glioblastoma cell line U251	NA
GSE110206	Amlexanox targets the IKK-ɛ/TBK1/NF-κB signaling axis to suppress the epithelial-to-mesenchymal transition and prostate cancer metastasis	Cancer/Prostate cancer
GSE115831	Pancreatic cancer-derived exosomes induce apoptosis of T lymphocytes through the p38 MAPK signal transduction pathway	Cancer/Pancreatic cancer/pathway
GSE117012	CD73 knockdown effect in pancreatic cancer cell lines	Cancer/Pancreatic cancer/knockdown
GSE107685	Gene expression changes in human iPSC-derived cardiomyocytes after X-ray irradiation	NA
GSE115650	MRI-informed muscle biopsies correlate MRI with pathology and DUX4 target gene expression in FSHD	NA
GSE114987	RNA sequencing reveals transcriptional changes after Hippo signaling activation in podocytes	pathway
GSE119377	Human Adipocytes Regulate Gene Expression in Triple-negative Breast Cancer Assessed by NGS  Sequencing	Breast cancer/Cancer
GSE108933	RNA-sequencing of human tendon after injury	NA
